cube_z_cm,depth_cm,mean_estimated_total_absorbed_dose_cGy,stddev_cGy,err_cGy,err_rel_percent,mean_mc_err_cGy,mean_mu_err_cGy,mean_det_err_cGy,mean_total_err_cGy,mean_rms_cGy
11.0,-1,0.5280804,0.0102303194623,0.00457513794983,0.866371474842,0.011252,0.001387742,0.00388926,0.01198838,159.1276
10.9,-0.9,0.52127,0.0105636019425,0.00472418640614,0.906283961506,0.01066642,0.001369846,0.003839104,0.01142024,150.8456
10.8,-0.8,0.5283146,0.0114755437693,0.00513201918936,0.971394542071,0.01079346,0.00138836,0.003890986,0.01155762,152.6428
10.7,-0.7,0.5222948,0.00481270066595,0.00215230516888,0.412086271754,0.01125982,0.001372538,0.003846648,0.01198108,159.2382
10.6,-0.6,0.5258824,0.0089782103896,0.00401517774949,0.763512479119,0.010931588,0.001381968,0.00387307,0.0116826,154.596
10.5,-0.5,0.5152044,0.00643301175967,0.00287693031893,0.558405619,0.010522822,0.001353904,0.00379443,0.01126864,148.8152
10.4,-0.4,0.531098,0.0167869219781,0.00750733973522,1.41355074491,0.01122996,0.001395672,0.003911484,0.01197418,158.8156
10.3,-0.3,0.5276948,0.00953545623974,0.00426438566971,0.808115916569,0.01120656,0.00138673,0.003886424,0.01194368,158.4846
10.2,-0.2,0.5278018,0.00602948718383,0.0026964686425,0.510886594646,0.01105644,0.00138701,0.00388721,0.01180212,156.3618
10.1,-0.1,0.5366706,0.0120201146334,0.00537555868352,1.00164955627,0.01105308,0.001410316,0.00395253,0.01182604,156.3144
10.0,0,0.5566184,0.00450997320391,0.00201692133213,0.362352615747,0.01110104,0.001462734,0.004099442,0.01192582,156.9922
9.9,0.1,0.5743572,0.00761978219505,0.00340767019237,0.593301553872,0.01125704,0.001509352,0.004230084,0.01212318,159.1984
9.8,0.2,0.5961794,0.0179686627438,0.00803583027198,1.34788794648,0.010823542,0.0015667,0.004390804,0.01178712,153.0678
9.7,0.3,0.689187,0.012002903128,0.00536786146431,0.778868647306,0.01224968,0.001811114,0.005075796,0.01338484,173.2366
9.6,0.4,0.7790644,0.00706566899168,0.00315986323438,0.405597179692,0.01331198,0.002047304,0.005737736,0.01464086,188.2596
9.5,0.5,0.836248,0.0147709317072,0.00660576147768,0.789928523318,0.01353484,0.002197576,0.00615889,0.01503386,191.4112
9.4,0.6,0.8872212,0.00869290933462,0.00388758723889,0.438175647617,0.01389328,0.00233153,0.0065343,0.0155314,196.4802
9.3,0.7,0.9174424,0.00623838118425,0.00278988887951,0.304094173052,0.01391822,0.002410946,0.006756876,0.01565956,196.8332
9.2,0.8,0.9512492,0.00888129411741,0.00397183547494,0.417538903049,0.01426358,0.002499788,0.00700586,0.01608746,201.7174
9.1,0.9,0.964803,0.00803410607971,0.00359296146653,0.372403637482,0.01389782,0.002535406,0.007105682,0.01581366,196.5452
9.0,1,0.9914666,0.0124467501301,0.00556635587795,0.561426464386,0.01432622,0.002605478,0.00730206,0.01628996,202.6032
8.9,1.1,0.9959412,0.0169173098541,0.00756565096604,0.759648357357,0.013951,0.002617236,0.007335016,0.01597786,197.2968
8.8,1.2,0.990836,0.00784698384731,0.00350927786019,0.354173431344,0.01430166,0.002603818,0.007297414,0.0162659,202.2558
8.7,1.3,0.993856,0.0213742429457,0.00955885203882,0.9617944691,0.01392436,0.002611752,0.00731965,0.01594682,196.9202
8.6,1.4,0.9972686,0.0098404722346,0.00440079296945,0.441284621761,0.01413156,0.002620724,0.007344798,0.0161411,199.8502
8.5,1.5,1.01036,0.00771344605219,0.00344955794269,0.341418696573,0.01416134,0.00265512,0.007441192,0.01621666,200.2714
